[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
4,1000,40,7.7,28,9,951,22,13,14,49,7.182908944,103,404,40.41856905,8.974585332,6.332195989,8.006827789,477,15,474,34,492,508
2,1000,40,7.7,28,8,937,26,15,22,63,7.818322058,94,363,40.07494214,9.475008035,6.876473576,8.716021392,467,21,470,42,488,512
5,1000,40,7.7,28,9,962,20,10,8,38,6.883255574,91,411,40.17258322,8.673545237,6.289207232,7.511528923,497,17,465,21,514,486
6,1000,40,7.7,28,9,950,27,11,12,50,7.099447367,89,381,40.03804801,9.191561488,6.225167225,7.991389734,486,19,464,31,505,495
7,1000,40,7.7,28,9,940,29,17,14,60,7.706483883,111,421,40.28795873,9.300704008,7.375723758,8.029399894,474,20,466,40,494,506
8,1000,40,7.7,28,9,937,26,22,15,63,7.505614187,109,411,40.50222509,9.030440257,6.718403214,8.379185856,504,22,433,41,526,474
3,1000,40,7.7,28,9,938,33,12,17,62,7.61094293,89,400,40.24354301,9.236150882,6.630270033,8.576049591,474,22,464,40,496,504
1,1000,40,7.7,28,8,949,29,12,10,51,7.229445645,110,403,40.03602626,8.910915683,6.615640137,7.789264435,460,17,489,34,477,523
4,1000,40,7.7,28,10,952,23,11,14,48,7.216336541,103,409,40.44626035,8.982630037,6.385722067,8.020789931,476,16,476,32,492,508
5,1000,40,7.7,28,10,962,20,10,8,38,6.89861509,91,404,40.19936409,8.681855116,6.309438822,7.521735671,497,17,465,21,514,486
2,1000,40,7.7,28,9,939,24,16,21,61,7.810228691,111,413,40.11141334,9.490081525,6.871783881,8.704683901,468,20,471,41,488,512
6,1000,40,7.7,28,10,949,26,14,11,51,7.117487324,102,418,40.06645895,9.222872495,6.265923015,7.986254952,486,19,463,32,505,495
7,1000,40,7.7,28,10,940,29,17,14,60,7.71415955,99,461,40.30921345,9.330569819,7.354563818,8.06522732,474,20,466,40,494,506
8,1000,40,7.7,28,10,939,26,22,13,61,7.483810691,104,427,40.53861349,9.019987295,6.663578499,8.39402616,506,20,433,41,526,474
3,1000,40,7.7,28,10,936,36,12,16,64,7.647070883,97,412,40.27234733,9.256616319,6.62114736,8.656709906,474,22,462,42,496,504
4,1000,40,7.7,28,11,951,24,12,13,49,7.23858524,86,425,40.45592431,9.000964014,6.380382053,8.069758405,476,16,475,33,492,508
1,1000,40,7.7,28,9,951,27,12,10,49,7.231969855,94,383,40.08030311,8.953311363,6.597544719,7.810594692,462,15,489,34,477,523
5,1000,40,7.7,28,11,963,20,9,8,37,6.888624997,111,395,40.21146689,8.703648531,6.279383305,7.532967033,498,16,465,21,514,486
6,1000,40,7.7,28,11,949,26,14,11,51,7.128761502,87,392,40.0890046,9.238191318,6.293032832,7.981373579,485,20,464,31,505,495
2,1000,40,7.7,28,10,939,24,15,22,61,7.864816733,108,426,40.14371638,9.505532209,6.914194828,8.770878235,468,20,471,41,488,512
7,1000,40,7.7,28,11,941,28,17,14,59,7.697491522,107,408,40.34233386,9.360336154,7.345913653,8.040731577,474,20,467,39,494,506
3,1000,40,7.7,28,11,938,35,11,16,62,7.649284981,96,405,40.30823771,9.279917991,6.632837225,8.649598646,474,22,464,40,496,504
8,1000,40,7.7,28,11,940,23,24,13,60,7.519084183,91,431,40.56123862,9.048135307,6.723481915,8.401967712,506,20,434,40,526,474
4,1000,40,7.7,28,12,951,22,14,13,49,7.264320865,89,391,40.46814651,9.024452241,6.417258876,8.084703736,476,16,475,33,492,508
5,1000,40,7.7,28,12,965,18,8,9,35,6.935759558,103,410,40.21933674,8.711268398,6.348057319,7.557321185,499,15,466,20,514,486
1,1000,40,7.7,28,10,952,27,11,10,48,7.212386601,106,378,40.08828541,8.969553966,6.58976338,7.78024755,462,15,490,33,477,523
6,1000,40,7.7,28,12,948,27,14,11,52,7.173291727,86,392,40.13334481,9.25413136,6.331194714,8.032400801,484,21,464,31,505,495
2,1000,40,7.7,28,11,939,26,14,21,61,7.871501865,95,409,40.15715927,9.508275129,6.954655662,8.745370903,468,20,471,41,488,512
7,1000,40,7.7,28,12,941,30,17,12,59,7.657590078,104,409,40.36215339,9.367238697,7.257997459,8.047706193,474,20,467,39,494,506
3,1000,40,7.7,28,12,939,35,10,16,61,7.643576293,102,401,40.31251408,9.304897666,6.62885375,8.64219213,475,21,464,40,496,504
